Rank,Error Message,Snippet IDs
55,"extraneous input '.' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'else', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['2942_0', '7075_0', '7729_0', '9000_3', '12394_0', '17402_0', '23383_1', '24844_3', '27695_2', '27792_2', '30021_0', '38305_0', '41760_1', '51942_1', '52841_0', '57592_2', '59348_1', '62430_0', '66472_1', '70351_1', '78675_0', '79246_0', '79924_2', '83782_1', '88043_3', '90995_0', '90995_1', '91654_0', '92877_0', '94523_0', '96690_0', '98134_0', '99900_0', '99909_0', '102610_0', '106843_2', '112968_0', '119431_2', '120566_0', '121238_0', '121685_1', '122690_0', '124681_1', '127140_1', '128478_0', '129026_0', '130520_0', '134354_1', '136158_0', '136164_0', '136164_1', '143308_0', '144472_0', '147580_1', '148069_1']"
53,"extraneous input '(' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['11056_0', '11056_1', '11146_1', '22904_1', '24845_2', '33856_1', '38001_0', '40874_0', '41501_0', '42200_0', '42200_1', '47866_0', '48796_0', '52960_0', '55900_0', '57321_0', '58984_0', '62932_2', '64584_0', '64715_0', '65782_0', '70394_3', '71618_0', '76436_1', '76929_0', '78669_0', '78721_0', '82907_1', '87661_0', '87661_1', '89752_0', '92948_2', '92975_0', '98201_0', '101370_0', '106263_0', '111456_0', '114549_0', '114562_0', '114715_0', '115323_0', '117975_0', '118318_0', '120445_0', '121924_1', '122459_0', '122718_0', '122959_12', '123818_0', '132167_2', '142508_1', '143262_2', '143278_1']"
46,no viable alternative at input 'Error:',"['1617_0', '2567_3', '3727_2', '7075_1', '18064_1', '17418_0', '24622_2', '25002_5', '29061_2', '35406_0', '48635_0', '64145_1', '66210_1', '66962_2', '66962_3', '76985_1', '86704_0', '86799_0', '87187_0', '88037_0', '106723_1', '107639_0', '112835_0', '114610_0', '119075_0', '125894_1', '127190_0', '127676_4', '129273_1', '130325_1', '130676_1', '131715_2', '135266_1', '135765_0', '137324_1', '137427_0', '139409_1', '140468_0', '141942_0', '144228_2', '144314_2', '145565_0', '147361_1', '147361_3', '147688_0', '148286_0']"
44,"mismatched input '(' expecting {'=', ';', NL}","['3703_4', '7096_0', '21348_0', '28040_1', '36587_1', '45690_0', '47866_0', '48383_5', '48796_0', '52960_0', '54855_2', '55592_0', '58984_0', '62932_2', '64042_0', '64715_0', '65782_0', '66169_0', '72570_0', '76692_2', '76692_3', '91442_0', '92365_0', '97457_0', '98685_1', '107728_1', '107971_1', '114027_1', '114549_0', '114715_0', '114939_1', '115252_5', '116750_0', '122545_0', '122718_0', '123076_0', '124038_0', '125616_1', '128121_0', '129708_0', '130676_1', '138633_0', '140368_0', '140539_0']"
39,"extraneous input '.' expecting {<EOF>, 'pragma', 'import', 'from', 'abstract', 'contract', 'interface', 'library', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['1047_2', '871_2', '2128_2', '7430_0', '8523_2', '9103_2', '9730_0', '17312_2', '41459_1', '41501_0', '50333_0', '65813_1', '69004_0', '74574_1', '76795_1', '77018_1', '77273_0', '79246_0', '82705_0', '83515_2', '83849_0', '84573_0', '87661_2', '91520_4', '98023_0', '102738_0', '113647_1', '115319_0', '121563_0', '121714_1', '122710_0', '124372_0', '132322_0', '138427_0', '138677_0', '141453_0', '142528_1', '143495_2', '143691_0']"
37,"mismatched input ',' expecting {'=', ';', NL}","['7678_2', '22904_1', '24845_2', '27777_0', '32101_1', '38001_0', '42200_0', '42200_1', '47354_1', '50605_0', '58984_0', '62932_2', '64715_0', '70394_3', '76436_1', '84223_1', '92365_0', '92975_0', '93158_0', '93297_1', '98201_0', '106263_0', '110076_0', '114549_0', '115323_0', '117975_0', '118180_0', '121924_1', '122459_0', '122959_12', '125772_0', '129666_0', '129684_2', '131173_0', '132167_2', '140539_0', '143278_1']"
35,"mismatched input '.' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['3591_0', '11782_0', '15616_0', '16082_0', '27792_2', '32297_3', '33711_1', '33528_1', '33776_1', '41248_0', '44509_3', '46287_1', '48724_4', '49065_1', '57592_1', '62932_1', '65813_1', '69044_1', '84122_2', '84292_0', '85282_0', '87884_6', '109918_0', '113079_0', '113775_0', '121703_3', '122056_0', '131419_1', '132134_2', '133231_2', '138571_3', '139387_1', '139446_1', '139446_2', '147688_0']"
35,"extraneous input '{' expecting {'=', ';', NL}","['8945_0', '10981_1', '13805_2', '20875_4', '23501_1', '27327_0', '28328_0', '30547_0', '34507_0', '41459_1', '45542_0', '51042_2', '61766_0', '64789_3', '70932_0', '76697_0', '79260_2', '80116_2', '97574_1', '101370_0', '109320_0', '114734_0', '117975_1', '125155_1', '125772_1', '129005_0', '129684_2', '129948_0', '134174_0', '136078_1', '140788_0', '140788_1', '140788_2', '141733_0', '143112_0']"
34,"extraneous input ')' expecting {'=', ';', NL}","['7096_0', '10329_0', '11056_0', '11056_1', '24845_2', '38001_0', '42200_0', '42200_1', '50605_0', '52960_0', '55067_0', '57321_0', '66495_0', '66962_0', '73737_0', '76436_1', '76529_0', '78721_0', '82907_1', '87661_0', '87661_1', '92948_2', '92975_0', '98201_0', '101370_0', '107728_1', '111456_0', '112164_0', '114549_0', '122459_0', '123818_0', '132167_2', '134856_1', '142508_1']"
33,"mismatched input ';' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['7094_0', '7163_1', '7678_2', '10981_1', '27261_0', '32354_0', '38001_0', '47596_0', '52960_0', '55592_0', '55900_0', '57321_0', '62719_0', '64170_0', '64715_0', '76582_0', '76529_0', '78038_0', '87153_0', '91442_0', '92084_0', '107971_0', '112411_0', '112435_0', '114621_0', '114939_1', '127717_4', '131384_0', '132933_0', '137634_0', '140232_0', '141797_0', '141804_0']"
32,"extraneous input '=' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['10981_0', '10981_1', '29245_0', '32354_0', '36199_0', '36587_1', '38001_0', '41501_0', '42200_0', '42200_1', '50605_0', '55592_0', '55900_0', '57321_0', '64715_0', '65782_0', '76582_0', '93158_0', '106263_0', '107971_1', '110736_0', '111456_0', '112411_0', '114939_1', '116750_0', '119449_0', '122545_0', '128121_0', '136172_2', '140232_0', '140368_0', '143691_3']"
31,"extraneous input '>' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['3285_2', '3511_3', '3609_1', '3613_3', '4102_1', '4102_3', '3784_3', '5861_3', '7526_2', '11030_2', '11030_3', '11982_2', '12012_2', '12015_2', '11912_2', '12716_1', '25027_1', '39971_1', '41546_1', '44580_2', '55067_0', '63493_3', '98840_3', '101791_1', '109513_1', '110647_0', '111859_0', '112864_1', '112864_3', '127525_1', '145035_1']"
30,"extraneous input ')' expecting {';', NL}","['7325_3', '39456_1', '52773_0', '59368_0', '59820_1', '60357_1', '64042_0', '69427_0', '73729_1', '77459_3', '77544_1', '80001_0', '97457_0', '98576_0', '106263_0', '106575_0', '110717_1', '114027_1', '118509_0', '125616_1', '128414_0', '129684_2', '130676_1', '131168_0', '134053_0', '139140_0', '140132_0', '140788_4', '146826_0', '147688_0']"
29,"extraneous input '{' expecting {';', NL}","['3703_4', '8945_1', '12864_0', '23699_1', '35545_0', '47354_1', '62966_0', '63617_1', '66236_0', '72543_0', '76436_0', '76692_2', '76692_3', '80947_3', '82866_1', '87359_0', '93297_1', '109320_0', '110232_0', '111203_0', '112817_0', '120181_0', '120891_1', '122056_0', '125155_1', '129666_0', '129684_2', '133013_0', '141386_7']"
28,"mismatched input '.' expecting {'~', 'from', '{', '}', '(', 'error', 'for', 'function', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment, NL}","['1047_0', '871_0', '2128_0', '2567_2', '8523_0', '11030_3', '12716_1', '11800_2', '26542_0', '34747_2', '45559_0', '45559_2', '45559_3', '52851_1', '63857_1', '64148_1', '66674_2', '71060_1', '85031_0', '87138_1', '89747_0', '92502_2', '95205_0', '118597_0', '66828_0', '137780_1', '138876_0', '139804_0']"
28,"mismatched input '<EOF>' expecting {'from', '}', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['11900_0', '23501_1', '33683_0', '33457_1', '37750_2', '39721_2', '42600_0', '52490_3', '64751_2', '66925_3', '79964_5', '80502_1', '83686_1', '87714_2', '91473_2', '91601_0', '99300_1', '121703_2', '122121_2', '123755_1', '125624_1', '129231_1', '133547_1', '139664_1', '142459_0', '142528_1', '145183_0', '145183_1']"
27,"mismatched input '=' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['6562_1', '7094_0', '10329_1', '10981_1', '15953_8', '23316_0', '32354_0', '37090_0', '38001_0', '55900_0', '57321_0', '59890_0', '71618_0', '73114_1', '78721_0', '90097_0', '90097_1', '91442_0', '101370_0', '115387_0', '117358_0', '121550_0', '123096_0', '127842_0', '132765_0', '133379_0', '133446_0']"
27,"extraneous input '}' expecting {<EOF>, '~', 'from', '{', '(', 'error', 'for', 'function', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment}","['11030_3', '12716_1', '64789_3', '68835_0', '70932_0', '72594_1', '94796_1', '97574_1', '106671_0', '109320_0', '110780_0', '112817_0', '120181_0', '120544_3', '122269_0', '125155_1', '129005_0', '129666_0', '129684_2', '130933_0', '137039_0', '139941_0', '140788_0', '140788_1', '140788_2', '141386_7', '148055_0']"
24,mismatched input '<EOF>' expecting '}',"['6200_0', '11056_1', '24577_0', '39602_0', '44367_0', '49084_0', '50889_0', '63328_0', '64527_0', '69055_1', '80480_1', '94794_0', '98145_0', '102144_1', '103618_0', '114810_0', '122234_0', '122224_0', '123754_0', '129037_0', '130635_0', '137539_0', '140469_0', '141566_0']"
24,"mismatched input ')' expecting {';', NL}","['13849_0', '21031_0', '27695_2', '34507_0', '62572_1', '72333_0', '73729_1', '77459_3', '83299_0', '92365_0', '97457_0', '97659_0', '101986_0', '114027_1', '116734_0', '123076_0', '123266_0', '123657_2', '124038_0', '129005_0', '130676_1', '140788_4', '141156_1', '145519_1']"
23,"mismatched input '.' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['28047_1', '36012_0', '37821_1', '38809_0', '39766_0', '52590_0', '55723_1', '75963_1', '87192_0', '87661_3', '87661_4', '97570_1', '103821_0', '119041_4', '121703_0', '122221_1', '125035_1', '125212_1', '127215_0', '131744_0', '134596_0', '142631_0', '147516_1']"
22,"mismatched input 'public' expecting {'from', 'error', 'memory', 'storage', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier}","['35545_0', '47070_1', '47354_1', '49084_0', '66236_0', '70932_0', '82866_1', '93297_1', '106575_0', '109320_0', '111203_0', '112817_0', '113371_0', '115396_0', '120891_1', '125155_1', '125772_1', '127842_0', '129005_0', '129684_2', '140843_0', '142245_0']"
