Rank,Error Message,Snippet IDs
20,"extraneous input ')' expecting {';', NL}","['53630226_0', '55982661_0', '65670482_1', '65766289_0', '66928012_0', '67292530_0', '68721621_0', '69025408_1', '69332569_0', '71009134_0', '71389974_0', '71564754_0', '71869681_1', '72093394_2', '72584559_2', '72750985_1', '73335843_0', '73434613_0', '73536755_0', '74823503_1']"
19,"extraneous input '.' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'else', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['46561759_1', '47247602_0', '48630389_0', '48898355_2', '49959824_1', '55383179_1', '55965813_1', '58942534_0', '63835302_0', '67099783_0', '69888515_1', '70825721_0', '70849420_0', '70849420_1', '71180839_0', '71372569_1', '71524372_2', '71766016_0', '73135449_0']"
19,"extraneous input '(' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['47911527_0', '51336428_0', '53876848_0', '67036739_1', '67356893_0', '67765614_0', '68930866_0', '68964131_0', '70658482_0', '71405290_1', '71639967_0', '71646570_1', '71820678_0', '71952469_0', '72222191_1', '72719985_1', '72925509_0', '73272138_0', '74987758_0']"
18,"mismatched input ')' expecting {'=', ';', NL}","['42951618_1', '47911527_0', '51336428_0', '65766289_0', '67036739_1', '68656074_0', '68964131_0', '68991900_0', '69034610_2', '70250166_0', '70658482_0', '70666107_0', '71639967_0', '71646570_1', '72607997_0', '72855570_0', '73597585_0', '73821810_0']"
18,"mismatched input ')' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['44991977_0', '47662768_0', '47911527_0', '51336428_0', '67036739_1', '67356893_0', '67589637_4', '67765614_0', '68111308_0', '70658482_0', '71432001_0', '71646570_1', '71820678_0', '72369941_0', '72607997_0', '72719985_1', '73272138_0', '74877091_0']"
17,"extraneous input '{' expecting {'=', ';', NL}","['46466792_0', '49851273_0', '51811011_0', '65766289_0', '68032495_1', '68477946_0', '68485435_0', '69061349_2', '70998818_1', '71716481_0', '72458692_0', '72855570_0', '73093035_0', '73237205_3', '73812789_2', '73821810_0', '73930583_0']"
16,"mismatched input '(' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['47911527_0', '63018930_0', '64236628_0', '66645883_0', '66611544_0', '67356893_0', '67590652_0', '68991900_0', '69805685_3', '70643149_3', '70658482_0', '71371357_0', '71405290_1', '72369941_0', '72607997_0', '73272138_0']"
16,"extraneous input '{' expecting {';', NL}","['47911527_0', '65673817_0', '65766289_0', '67781596_0', '68512757_0', '70585228_0', '70666107_0', '70846917_0', '71628337_0', '71908238_0', '72458692_0', '72855570_0', '73155222_1', '73597585_0', '73930583_0', '74578910_1']"
16,"mismatched input '<EOF>' expecting {'from', '}', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['57324912_3', '57324912_4', '63211454_0', '65622958_0', '65622958_1', '66789290_1', '67461127_2', '67485324_4', '67700882_0', '68950518_4', '70139247_3', '70690534_2', '71744343_1', '71812226_0', '73672345_3', '73672345_4']"
16,"extraneous input '}' expecting {<EOF>, '~', 'from', '{', '(', 'error', 'for', 'function', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment}","['65673817_0', '65766289_0', '68032495_1', '70180939_1', '71212707_1', '71263095_0', '71317192_0', '71325598_1', '71327850_0', '71993838_0', '72458692_0', '72855570_0', '73155222_1', '73812789_2', '73821810_0', '73930583_0']"
15,"extraneous input '=' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['47662768_0', '49426625_0', '62669838_0', '63018930_0', '68991900_0', '70250166_0', '70998818_1', '71371357_0', '71405290_1', '71646570_1', '71820678_0', '72925509_0', '73522448_0', '74987758_0', '75030483_0']"
15,"mismatched input '.' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['48225973_0', '67177920_1', '67757735_0', '67853438_1', '68000782_0', '68559639_1', '70658164_0', '71256984_3', '71678110_0', '71678110_1', '71968997_0', '72425628_1', '73156471_1', '73200906_1', '73200906_2']"
15,"mismatched input ',' expecting {'=', ';', NL}","['65766289_0', '67765614_0', '68240564_0', '68656074_0', '68930866_0', '68964131_0', '68991900_0', '70666107_0', '71636003_0', '71820678_0', '72607997_0', '72855570_0', '72925509_0', '73821810_0', '74987758_0']"
14,"mismatched input '(' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['52690481_1', '64236628_0', '65800835_0', '65800835_1', '65800835_2', '66145387_1', '69974761_3', '70527000_2', '70804128_2', '70804128_3', '71245575_1', '71245575_3', '71646915_1', '72421775_1']"
14,"mismatched input 'data' expecting {';', NL}","['57690326_2', '57690326_3', '69120777_0', '69754900_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
13,"mismatched input '""""' expecting {';', NL}","['44179638_3', '44179638_4', '69120777_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
13,"mismatched input ',' expecting {';', NL}","['65766289_0', '67881834_0', '68656074_0', '68721621_0', '69332569_0', '71398729_0', '71422238_0', '73335843_0', '73536755_0', '74668649_1', '74745504_1', '74823503_1', '75030483_0']"
12,"mismatched input ';' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['35848756_0', '44991977_0', '48065343_3', '60508437_0', '63018930_0', '68111308_0', '70998818_1', '71214540_0', '71405290_1', '71646570_1', '73522448_0', '74877091_0']"
12,"mismatched input '.' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['47911527_0', '51238545_1', '51918349_3', '57690326_2', '57690326_3', '65235689_0', '71564754_0', '72256864_0', '74889809_0', '74889809_1', '74889809_2', '74889809_4']"
12,"mismatched input 'decode_log' expecting {';', NL}","['69120777_0', '69754900_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
12,"extraneous input ']' expecting {';', NL}","['69120777_0', '69754900_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
12,"mismatched input 'data' expecting {',', ']'}","['69120777_0', '69754900_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
12,"mismatched input 'path' expecting {',', ']'}","['69120777_0', '69754900_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
12,"mismatched input 'to' expecting {',', ']'}","['69120777_0', '69754900_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
12,no viable alternative at input 'decode_log->',"['69120777_0', '69754900_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
11,"extraneous input '.' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['45614208_3', '46561759_1', '47911527_0', '48630389_0', '48898355_2', '49613580_0', '49613580_1', '49959824_1', '56814247_0', '58942534_0', '61448898_0']"
11,mismatched input '<EOF>' expecting '}',"['53720026_0', '55982661_0', '65208750_0', '67258896_1', '68086585_0', '69716493_0', '72187606_0', '72822287_0', '73597585_0', '74668649_0', '74906242_0']"
11,"mismatched input ')' expecting {';', NL}","['55598440_1', '65670482_1', '65766289_0', '68985070_0', '71389974_0', '71398729_0', '71820678_0', '72584559_2', '72750985_1', '74386781_0', '75030483_0']"
11,"extraneous input '.' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'else', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['68058473_0', '71180839_0', '71372569_1', '71766016_0', '72475214_0', '72614322_0', '73135449_0', '74439838_0', '74584443_0', '74896018_1', '75166344_0']"
11,"mismatched input 'requestId' expecting {';', NL}","['69754900_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
11,"mismatched input 'payment' expecting {';', NL}","['69754900_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
11,"mismatched input 'callbackAddress' expecting {';', NL}","['69754900_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
11,"mismatched input 'callbackFunctionId' expecting {';', NL}","['69754900_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
11,"mismatched input 'expiration' expecting {';', NL}","['69754900_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
10,"mismatched input '=' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'override', 'constant', 'immutable', 'leave', 'internal', 'payable', 'private', 'public', 'constructor', 'receive', Identifier}","['49426625_0', '51226875_0', '63018930_0', '66611544_0', '68964131_0', '69526003_0', '70224098_0', '70998818_1', '71371357_0', '71542788_1']"
10,"mismatched input ':' expecting {';', NL}","['65670482_1', '65766289_0', '69120777_0', '71389974_0', '71398729_0', '71869681_1', '72093394_2', '72584559_2', '72750985_1', '74668649_1']"
10,"mismatched input 'abi' expecting {',', ']'}","['69120777_0', '69754900_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '76328677_3']"
10,no viable alternative at input 'frombrownieimport',"['70615375_2', '70751581_0', '70751581_1', '70837792_0', '71548214_1', '71767046_2', '71819186_3', '72068874_0', '73281461_0', '73817492_1']"
9,"extraneous input ')' expecting {'=', ';', NL}","['49709000_4', '53876848_0', '67881834_0', '68417684_1', '68656074_0', '71639967_0', '71952469_0', '72222191_1', '72719985_1']"
9,"mismatched input 'the' expecting {'=', ';', NL}","['51088763_0', '70589555_0', '72584559_2', '72584559_7', '72729659_2', '73555739_1', '73933338_0', '75319247_0', '75839839_0']"
9,no viable alternative at input 'ParserError:',"['51918349_0', '62943847_1', '67700882_1', '70088935_1', '70290173_1', '70742806_2', '71171972_2', '71526130_1', '74665172_1']"
9,"mismatched input ':' expecting {'=', ';', NL}","['65766289_0', '67709521_1', '67858933_3', '69754900_0', '71225313_0', '71869681_1', '72093394_2', '72750985_1', '73434613_0']"
9,"mismatched input 'id' expecting {';', NL}","['69465001_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '72904936_0', '72904936_1']"
8,"mismatched input '[' expecting {'=', ';', NL}","['48065343_3', '49426625_0', '62669838_0', '64729032_0', '68240564_0', '68930866_0', '71321709_0', '71820678_0']"
8,"extraneous input ',' expecting {';', NL}","['67031948_0', '69020268_1', '69120777_0', '71398729_0', '71628337_0', '72242118_0', '72573064_0', '74668649_1']"
8,"extraneous input '(' expecting {';', NL}","['69020268_1', '69379701_0', '71398729_0', '71628337_0', '72242118_0', '72573064_0', '73597585_0', '73812170_0']"
8,"mismatched input 'value' expecting {';', NL}","['69754900_0', '71302194_1', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
8,"mismatched input '\n' expecting {',', ']'}","['70017509_1', '70073459_0', '71674583_1', '71674583_2', '71719772_0', '72904936_0', '72904936_1', '76328677_3']"
8,"mismatched input 'name' expecting {',', ']'}","['70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '72904936_0', '72904936_1']"
8,"mismatched input 'requestData' expecting {';', NL}","['70017509_1', '70073459_0', '70107436_2', '71302194_1', '71674583_1', '71674583_2', '72904936_0', '72904936_1']"
7,mismatched input ';' expecting '(',"['35545625_2', '62098161_0', '68058473_0', '68468838_0', '70666107_0', '71737241_1', '76043242_0']"
7,"mismatched input '.' expecting {'from', ')', 'error', 'function', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['43341622_1', '48065343_0', '48065343_2', '48065343_3', '55398634_1', '66831960_0', '71564754_0']"
7,"extraneous input '}' expecting {';', NL}","['47911527_0', '65766289_0', '65800835_0', '65800835_2', '70322339_0', '71628337_0', '74668649_0']"
7,no viable alternative at input 'Warning:',"['57970765_1', '59651032_1', '69258120_1', '71558197_1', '71646570_0', '74928837_0', '75675146_1']"
7,"extraneous input ')' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'else', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['69020268_1', '70322339_0', '72458692_0', '72573064_0', '73536755_0', '74386781_0', '75714365_0']"
7,"extraneous input ')' expecting {<EOF>, '~', 'from', '{', '(', 'error', 'for', 'function', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment}","['69025408_0', '70674359_19', '71398729_0', '72458692_0', '73536755_0', '74386781_0', '74668649_1']"
7,no viable alternative at input 'ethabiencode\nabi',"['69120777_0', '69754900_0', '70017509_1', '70107436_2', '71302194_1', '72904936_0', '72904936_1']"
7,"mismatched input '<EOF>' expecting {';', NL}","['69120777_0', '70017509_1', '70073459_0', '70107436_2', '71302194_1', '71719772_0', '76328677_3']"
7,no viable alternative at input 'PSC:',"['69927808_0', '69927808_1', '70952409_0', '71035790_0', '71258898_0', '71746449_0', '73177126_0']"
6,"extraneous input 'public' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['53091920_1', '53135401_0', '62970535_2', '64003066_1', '75826477_1', '75955133_1']"
6,"extraneous input ':' expecting {';', NL}","['55598440_1', '65670482_1', '68240564_0', '71389974_0', '71398729_0', '74668649_1']"
6,"mismatched input 'be' expecting {'=', ';', NL}","['56723849_1', '69120777_0', '70589555_0', '72729659_2', '73555739_1', '75319247_0']"
6,"extraneous input 'let' expecting {<EOF>, 'pragma', '~', 'import', 'from', '{', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'for', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['62247259_1', '69576099_0', '69774377_0', '71170701_3', '72973594_1', '75157442_3']"
6,"mismatched input '}' expecting {';', NL}","['67031948_0', '67881834_0', '69120777_0', '73536755_0', '74386781_0', '74668649_1']"
6,no viable alternative at input 'Thetransactionhas',"['67419852_1', '68951548_0', '70270944_1', '70625770_1', '71666255_2', '74923823_0']"
6,no viable alternative at input 'Compilingyourcontracts',"['67641209_0', '67651899_0', '71951964_2', '71979670_2', '75762335_0', '76447303_1']"
6,"extraneous input 'public' expecting {'from', 'error', 'memory', 'storage', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier}","['68477946_0', '68485435_0', '69061349_2', '72855570_0', '73237205_3', '73821810_0']"
6,no viable alternative at input 'ethabidecodelog\nabi',"['69120777_0', '69754900_0', '70107436_2', '71302194_1', '72904936_0', '72904936_1']"
