Rank,Error Message,Snippet IDs
30,no viable alternative at input 'TypeError:',"['47945401_1', '51571610_1', '54320320_1', '54327213_1', '56505629_2', '59345097_0', '62391718_1', '66118102_1', '67461127_1', '68526748_0', '68561131_2', '68597706_0', '68736257_0', '69009602_1', '69779613_0', '69931208_1', '70011797_0', '70128297_0', '70139247_0', '70139247_1', '70364713_2', '71093531_1', '71093531_2', '71069193_1', '71375518_1', '71794345_0', '71914346_0', '72441366_2', '73755971_0', '73843001_0']"
28,"extraneous input '.' expecting {<EOF>, 'pragma', '~', 'import', 'from', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'struct', 'function', 'enum', '[', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['47971193_0', '49266401_0', '51496073_1', '53553868_1', '54106709_0', '59910768_0', '60147040_0', '60569808_7', '61448898_0', '62098161_0', '66617876_3', '67109613_1', '68128905_0', '69200464_0', '69277866_1', '69688857_0', '69700895_0', '70566931_0', '70679521_0', '70825721_0', '70907649_0', '71035790_0', '71324180_1', '72253221_0', '72253221_1', '72790377_0', '73426593_0', '73591498_1']"
28,"mismatched input '<EOF>' expecting {'~', 'from', '{', '}', '(', 'error', 'for', 'function', '[', 'address', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'receive', Identifier, StringLiteralFragment}","['53447586_2', '53460851_1', '53460851_4', '54133077_2', '55655626_1', '56505629_1', '63974606_0', '67166559_0', '67270966_2', '67467234_1', '67485324_2', '67684106_1', '68056858_0', '68111308_1', '68320225_0', '69045016_2', '69087590_1', '69598697_1', '69598697_2', '69823891_2', '70112336_1', '70128297_2', '70290173_2', '71340451_0', '71820678_1', '72333339_0', '73218286_2', '73345161_2']"
27,"extraneous input '.' expecting {<EOF>, 'pragma', '~', 'import', 'from', '}', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', '[', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['49959824_0', '49959824_1', '50819979_5', '52685530_2', '54412333_1', '54348232_0', '57324912_3', '57324912_4', '65708200_0', '65869895_0', '68287550_0', '69325713_0', '69725746_0', '69846856_0', '70255949_1', '70679521_0', '70800623_0', '71045594_1', '71180839_0', '71372569_1', '71524372_3', '71737241_1', '71893853_1', '72253221_0', '72253221_1', '72685626_0', '72790377_0']"
27,"extraneous input '=>' expecting {<EOF>, 'pragma', '||', '^', '~', '>=', '>', '<', '<=', '=', 'import', '*', 'from', '{', ',', '}', 'abstract', 'contract', 'interface', 'library', '(', ')', 'error', 'for', 'struct', 'function', 'enum', '[', 'address', '.', 'mapping', 'calldata', 'if', 'try', 'while', 'unchecked', ';', 'assembly', 'do', 'return', 'throw', 'emit', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', '**', '/', '%', '<<', '>>', '&', '|', '==', '!=', '&&', '?', '|=', '^=', '&=', '<<=', '>>=', '+=', '-=', '*=', '/=', '%=', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'break', 'continue', 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['53791299_2', '59713819_1', '59713819_3', '66145387_1', '66930517_0', '68241377_1', '69105424_0', '69974761_3', '70527000_2', '70804128_2', '70804128_3', '71245575_1', '71245575_3', '71450598_1', '71471252_0', '71646915_1', '72084829_0', '72356857_4', '72356857_10', '72421775_1', '72584559_6', '72584559_8', '72818685_1', '72909871_2', '72909871_4', '72909871_9', '73536755_0']"
25,"extraneous input 'modifier' expecting {<EOF>, 'pragma', '~', 'import', 'from', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'struct', 'function', 'enum', '[', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['44982437_0', '50928036_2', '51601751_0', '51663786_1', '52285392_0', '53622973_0', '55572357_4', '58471891_0', '63463340_0', '63463340_1', '63463340_2', '66173249_0', '67349342_1', '68403746_0', '69061349_2', '70020697_0', '70549883_0', '70585228_0', '71156719_0', '71876607_0', '72840701_0', '73338985_0', '73522448_0', '73616714_0', '73789100_0']"
24,"extraneous input 'event' expecting {<EOF>, 'pragma', '~', 'import', 'from', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'struct', 'function', 'enum', '[', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['45614208_5', '47240561_0', '49026384_0', '55249896_1', '56353779_0', '62211729_0', '62493511_0', '63652317_0', '67858437_0', '68856707_0', '69400366_0', '69678541_1', '69887774_2', '70017509_0', '71353516_3', '72174048_0', '72337234_0', '72368733_0', '72820012_1', '72855570_0', '73042237_0', '73577793_0', '73756010_0', '73842617_0']"
24,"extraneous input '(' expecting {';', NL}","['54106709_0', '58150023_0', '65507396_0', '68856707_0', '68864546_0', '69020268_1', '69370832_0', '69400366_0', '69427619_0', '69678541_1', '70052775_0', '70704418_1', '70706328_1', '70804128_3', '71398729_0', '72242118_0', '72487816_0', '72573064_0', '72584559_6', '72661506_3', '72818685_1', '73597585_0', '73756010_0', '73812170_0']"
23,"extraneous input 'event' expecting {<EOF>, 'pragma', '~', 'import', 'from', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'struct', 'function', 'enum', '[', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['35743893_3', '48630389_0', '49409209_0', '50454133_0', '53268261_1', '57394922_0', '58150023_0', '59122598_1', '62098161_0', '66506012_0', '67239017_4', '67464855_1', '69684493_0', '69823891_4', '70488829_1', '70600305_0', '71341935_0', '72164534_0', '72356857_5', '72487816_0', '73061154_0', '73171353_2', '73577793_0']"
23,"extraneous input 'return' expecting {<EOF>, 'pragma', '~', 'import', 'from', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'struct', 'function', 'enum', '[', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['44991977_0', '48877167_0', '49051856_0', '49051856_1', '49051856_2', '53308858_0', '54904028_0', '57688908_0', '67460613_1', '67554040_0', '67765614_0', '67884846_1', '68111308_0', '68422733_1', '69688857_3', '70731710_1', '70907172_0', '71263095_0', '71317192_0', '72719985_1', '72769139_0', '73014541_3', '73821810_0']"
21,"mismatched input ',' expecting {'=', ';', NL}","['47240561_0', '53268261_1', '54611665_0', '56353779_0', '62211729_0', '63652317_0', '67239017_4', '68656074_0', '68694465_7', '68776326_1', '68930866_0', '70017509_0', '70666107_0', '71341935_0', '71636003_0', '72164534_0', '72368733_0', '72384572_0', '73042237_0', '73061154_0', '73171353_2']"
20,"mismatched input ')' expecting {'=', ';', NL}","['44982437_0', '51601751_0', '51664226_0', '53622973_0', '54611665_0', '67036739_1', '68656074_0', '69034610_2', '69232462_0', '70505253_0', '70514336_1', '70549883_0', '70585228_0', '70666107_0', '71646570_1', '71876607_0', '73004750_0', '73508643_1', '73597585_0', '73789100_0']"
20,"extraneous input 'if' expecting {<EOF>, 'pragma', '~', 'import', 'from', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'struct', 'function', 'enum', '[', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment}","['47993204_0', '48343868_0', '48861734_1', '51601751_0', '53200164_0', '54856879_2', '58956054_0', '68314316_0', '69877319_1', '70143451_0', '70330907_0', '71213040_0', '71263095_0', '71317192_0', '71325598_0', '71548214_1', '71655507_0', '72622910_0', '73014541_3', '73536042_0']"
20,"mismatched input '{' expecting {';', NL}","['53135401_0', '53622973_0', '54348232_1', '58045704_1', '68986989_1', '69063248_1', '70330907_0', '70643149_3', '71741432_1', '71868986_1', '72009655_0', '72058787_0', '72356857_1', '72458692_0', '73100243_1', '73434613_1', '73472272_1', '73577794_0', '73837958_1', '73917319_1']"
19,"extraneous input ')' expecting {';', NL}","['49426625_0', '53630226_0', '55982661_0', '66928012_0', '67292530_0', '68721621_0', '68875147_0', '68875147_2', '68930866_0', '69332569_0', '70399988_1', '71009134_0', '71553168_0', '71564754_0', '72033880_1', '72337234_0', '72925509_0', '73267710_0', '73335843_0']"
19,"mismatched input 'the' expecting {'=', ';', NL}","['63284038_0', '67419852_1', '68507885_1', '68507885_3', '68484713_1', '68951548_0', '69314742_0', '70270944_1', '70589555_0', '70625770_1', '70856735_1', '71666255_2', '72554752_1', '72584559_2', '72584559_7', '72729659_2', '73364556_0', '73555739_1', '73933338_0']"
18,"mismatched input '.' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['49449474_2', '51238545_1', '51918349_3', '57788496_0', '65235689_0', '68875147_0', '69050570_0', '69777395_0', '69887774_2', '69907715_0', '70139247_2', '70755278_0', '71207911_0', '71564754_0', '72256864_0', '72719985_0', '72719985_1', '73664623_0']"
17,"extraneous input ',' expecting {';', NL}","['52582875_0', '57354628_1', '67031948_0', '68424735_0', '68753117_0', '69020268_1', '69370832_0', '70269167_0', '70804128_3', '71518895_0', '71583652_1', '71792535_1', '72242118_0', '72516393_0', '72573064_0', '72661506_3', '72818685_1']"
17,"mismatched input '(' expecting {'from', 'error', 'calldata', 'revert', 'callback', 'leave', 'payable', 'constructor', 'receive', Identifier, NL}","['52690481_1', '64236628_0', '65800835_0', '65800835_1', '65800835_2', '66145387_1', '69974761_3', '70527000_2', '70804128_2', '70804128_3', '71245575_1', '71245575_3', '71398729_0', '71646915_1', '72084829_0', '72421775_1', '73536755_0']"
16,"mismatched input '}' expecting {';', NL}","['56564742_0', '57354628_1', '67031948_0', '67881834_0', '69370832_0', '69644735_5', '71245575_3', '71518895_0', '71583652_1', '71646915_1', '71792535_1', '72084829_0', '72769319_2', '72892760_0', '73344261_4', '73536755_0']"
16,"mismatched input '<EOF>' expecting {'from', '}', 'error', 'using', 'struct', 'modifier', 'function', 'event', 'enum', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', 'callback', Int, Uint, Byte, Fixed, Ufixed, 'leave', 'payable', 'constructor', 'fallback', 'receive', Identifier}","['57324912_3', '57324912_4', '63211454_0', '65622958_0', '65622958_1', '66789290_1', '67461127_2', '67485324_4', '67700882_0', '68950518_4', '70139247_3', '70690534_2', '71744343_1', '71812226_0', '73672345_3', '73672345_4']"
15,"extraneous input '{' expecting {'=', ';', NL}","['46466792_0', '49992356_0', '49851273_0', '51811011_0', '54503984_0', '58471891_0', '68477946_0', '68485435_0', '68986989_1', '69061349_2', '70183466_0', '70998818_1', '71716481_0', '73093035_0', '73237205_3']"
15,"mismatched input '.' expecting {<EOF>, 'pragma', '~', 'import', 'from', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'struct', 'function', 'enum', '[', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['48225973_0', '67177920_1', '67757735_0', '67853438_1', '68000782_0', '68559639_1', '70658164_0', '71256984_3', '71678110_0', '71678110_1', '71968997_0', '72425628_1', '73156471_1', '73200906_1', '73200906_2']"
15,"extraneous input 'modifier' expecting {<EOF>, 'pragma', '~', 'import', 'from', 'abstract', 'contract', 'interface', 'library', '(', 'error', 'struct', 'function', 'enum', '[', 'address', 'mapping', 'calldata', 'revert', 'var', 'bool', 'string', 'byte', '++', '--', 'new', '+', '-', 'after', 'delete', '!', 'callback', Int, Uint, Byte, Fixed, Ufixed, BooleanLiteral, DecimalNumber, HexNumber, HexLiteralFragment, 'leave', 'payable', 'type', 'constructor', 'fallback', 'receive', Identifier, StringLiteralFragment, NL}","['49793487_0', '51664226_0', '58956054_0', '64546452_1', '67269419_0', '69171562_1', '69962351_0', '70189923_2', '72067457_1', '72250726_0', '72414002_0', '72414002_1', '72892965_1', '73004750_0', '73536042_0']"
15,"mismatched input ',' expecting {';', NL}","['57018803_0', '67881834_0', '68656074_0', '68721621_0', '68875147_0', '69332569_0', '70704418_1', '71422238_0', '71422238_1', '72033880_1', '72516393_0', '72769319_2', '72925509_0', '73267710_0', '73335843_0']"
15,no viable alternative at input 'Error:',"['59379024_0', '63052231_0', '63735070_0', '66959912_0', '67940448_1', '68046512_1', '68329839_2', '68686998_1', '70628127_0', '71282915_0', '71524372_0', '71597113_0', '73318573_2', '73525695_1', '73803325_1']"
14,"mismatched input 'to' expecting {'=', ';', NL}","['47530664_1', '57788496_0', '63587065_1', '67037531_2', '67303288_0', '68507885_3', '68484713_1', '68632466_0', '70027890_0', '70589555_0', '71666255_2', '72729085_0', '73237205_3', '73594264_1']"
13,"mismatched input ':' expecting {';', NL}","['53135401_0', '57354628_1', '67852023_1', '68424735_0', '70295695_0', '70704418_1', '71583652_1', '71767046_2', '71792535_1', '71820678_0', '72413453_2', '72769319_2', '73749265_0']"
13,"mismatched input '=>' expecting {';', NL}","['59713819_1', '59713819_3', '61146681_3', '69099317_0', '69165981_0', '70527000_2', '70804128_2', '70804128_3', '71245575_3', '71646915_1', '72222191_0', '73536755_0', '73667305_19']"
